日期,美元,欧元,日元,港元,英镑,澳元,新西兰元,新加坡元,瑞士法郎,加元,林吉特,卢布,兰特,韩元,迪拉姆,里亚尔,福林,兹罗提,丹麦克朗,瑞典克朗,挪威克朗,里拉,比索,泰铢,澳门元
1994-01-01,870.0,,7.78,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-03,870.0,,7.78,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-04,870.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-05,870.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-06,870.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-07,869.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-08,870.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-10,870.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-11,870.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
1994-01-12,870.0,,7.7196,112.66,,,,,,,,,,,,,,,,,,,,,
