date,stock_code,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate,symbol,source_id,source_type,data_type
2026-01-05,688702,140.3,141.34,142.87,139.0,23762,335555051.0,2.73,-0.25,-0.35,1.17,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-06,688702,141.34,141.64,146.5,137.0,36461,515162440.0,6.72,0.21,0.3,1.8,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-07,688702,138.37,130.98,139.5,128.2,85047,1117863266.0,7.98,-7.53,-10.66,4.19,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-08,688702,130.01,130.3,133.58,128.48,40537,530351849.0,3.89,-0.52,-0.68,2.0,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-09,688702,130.0,135.43,138.8,127.03,40392,535153275.0,9.03,3.94,5.13,1.99,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-12,688702,136.0,133.07,137.0,130.23,38181,505942550.0,5.0,-1.74,-2.36,1.88,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-13,688702,132.62,130.5,134.14,128.5,29882,390339181.0,4.24,-1.93,-2.57,1.47,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-14,688702,130.99,138.44,142.88,129.99,44787,609371081.0,9.88,6.08,7.94,2.21,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-15,688702,133.01,128.6,134.78,126.0,57722,750990553.0,6.34,-7.11,-9.84,2.84,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-16,688702,128.92,133.04,134.8,127.05,54826,716790085.0,6.03,3.45,4.44,2.7,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-19,688702,135.88,144.67,151.6,135.88,69903,1013348156.0,11.82,8.74,11.63,3.44,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-20,688702,144.3,135.42,147.01,132.8,63489,870167009.0,9.82,-6.39,-9.25,3.13,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-21,688702,134.0,140.2,142.51,132.0,52500,727650438.0,7.76,3.53,4.78,2.59,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-22,688702,140.69,136.6,142.3,133.88,38115,521347456.0,6.01,-2.57,-3.6,1.88,688702,akshare_stock_a,akshare_a_stock,daily
2026-01-23,688702,136.78,131.5,136.79,130.31,42773,567257447.0,4.74,-3.73,-5.1,2.11,688702,akshare_stock_a,akshare_a_stock,daily
