股票代码,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率,is_trading_day
001227,3.86,3.9,3.91,3.85,101631,38459627.12,1.55,0.78,0.03,1.78,1
001227,3.9,3.96,3.97,3.89,184791,70986923.98,2.05,1.54,0.06,3.24,1
001227,3.97,3.94,3.97,3.92,114979,44169680.97,1.26,-0.51,-0.02,2.02,1
001227,3.94,3.91,3.94,3.91,102208,39068239.57,0.76,-0.76,-0.03,1.79,1
001227,3.93,3.91,3.94,3.9,95727,36517601.0,1.02,0.0,0.0,1.68,1
001227,3.91,3.88,3.92,3.87,100336,38027223.46,1.28,-0.77,-0.03,1.76,1
001227,3.88,3.89,3.91,3.87,78002,29568602.7,1.03,0.26,0.01,1.37,1
001227,3.89,3.87,3.89,3.85,83370,31388976.91,1.03,-0.51,-0.02,1.46,1
001227,3.89,3.93,3.93,3.86,158403,60206069.61,1.81,1.55,0.06,2.78,1
001227,3.92,3.95,4.08,3.85,392690,152032272.99,5.85,0.51,0.02,6.89,1
001227,3.87,3.76,3.87,3.73,1033058,380564157.47,3.54,-4.81,-0.19,3.73,1
001227,3.74,3.76,3.77,3.71,503519,183046265.67,1.6,0.0,0.0,1.82,1
001227,3.74,3.73,3.74,3.7,301323,109100873.17,1.06,-0.8,-0.03,1.09,1
001227,3.73,3.75,3.76,3.72,222147,80878117.9,1.07,0.54,0.02,0.8,1
001227,3.78,3.76,3.79,3.75,336096,123095934.22,1.07,0.27,0.01,1.21,1
001227,3.76,3.77,3.77,3.75,171535,62752300.36,0.53,0.27,0.01,0.62,1
